,ds,yhat,yhat_lower,yhat_upper
2895,2003-09-23,813.1642949853632,736.5197391451514,891.0954197212172
2896,2003-09-24,805.0952727231049,719.4191442686523,887.2558539395877
2897,2003-09-25,796.2783216902546,719.7555775037222,875.8198841328373
2898,2003-09-26,793.4557317516762,710.6715976517421,870.6152399193272
2899,2003-09-27,762.7414876647723,683.2453196980348,847.6207472154141
2900,2003-09-28,715.0397492833154,631.6977909814356,795.8008265611392
2901,2003-09-29,776.7110009632279,689.3606881174801,857.6687393227674
2902,2003-09-30,782.933290074108,704.5144897620776,864.2962046837982
2903,2003-10-01,780.2068618140833,702.1983583673779,864.016984084802
2904,2003-10-02,776.6850820698071,703.9222590829315,862.8420005616027
2905,2003-10-03,778.9758175578474,700.9030159600882,858.1296615415579
2906,2003-10-04,753.06266797922,669.7966165411765,831.4880140848472
2907,2003-10-05,709.7268760768825,633.2357092087053,793.6155939333278
2908,2003-10-06,775.2167269647441,696.5016275054152,851.6130293468732
2909,2003-10-07,784.6117679884118,706.0888781240749,866.7161566222169
2910,2003-10-08,784.3300746656892,702.716662948915,872.4349406751351
2911,2003-10-09,782.4613820678437,699.9505029570614,860.1910842650285
2912,2003-10-10,785.5701898109262,706.9334894516488,872.3960141856945
2913,2003-10-11,759.6181873374511,679.3938961366197,838.7131426699373
2914,2003-10-12,715.3867917311047,629.816005298765,797.980906932958
2915,2003-10-13,779.1465911289665,698.7062620681342,856.4695214640043
2916,2003-10-14,786.0210225883554,709.1967447188404,870.4652399554518
2917,2003-10-15,782.4925235434324,702.1092554997247,866.1519597738597
2918,2003-10-16,776.7340054388626,695.9836380422449,859.8194895342107
2919,2003-10-17,775.4098017961255,694.5994236248061,850.2603681640059
2920,2003-10-18,744.5954951343725,660.3308357132423,822.7975016798117
2921,2003-10-19,695.1974848048321,617.9100643034715,773.6341013946833
2922,2003-10-20,753.619168775602,666.1240880421348,838.9278400361242
2923,2003-10-21,755.1211561469803,677.1921052952371,842.4888159147765
2924,2003-10-22,746.3238429812192,665.0656389156526,824.6298113052916
2925,2003-10-23,735.5352964273015,649.5157212185925,817.2169839297843
2926,2003-10-24,729.5486960717698,653.7652033493621,812.8744005973565
2927,2003-10-25,694.5588312280124,617.1117335553471,779.7504733402736
2928,2003-10-26,641.5786055198106,553.4440702513416,725.6580496188349
2929,2003-10-27,697.1025036496633,614.64507384617,777.5827767974027
2930,2003-10-28,696.4645092789897,615.6879229262064,779.5363204564673
2931,2003-10-29,686.338867076559,604.0881156032088,769.9499161502117
2932,2003-10-30,675.0666810598707,593.9013396504754,756.0153511447717
2933,2003-10-31,631.7275976904016,550.041872174102,719.8317790206913
2934,2003-11-01,597.9562875737115,519.5429893068913,677.1273595348598
2935,2003-11-02,584.7342161465974,500.671982125581,673.8299060040287
2936,2003-11-03,643.0541056838804,560.9872971920837,729.8958676001365
2937,2003-11-04,645.9045474124243,560.420515319215,726.6116439655038
2938,2003-11-05,639.872649973352,558.9938752191074,718.4712486704351
2939,2003-11-06,633.1981205836864,553.7365738927236,710.9991340068461
2940,2003-11-07,632.5727928042053,547.694799070349,716.5526803317327
2941,2003-11-08,604.0600706047803,525.6811302356758,686.9136852907893
2942,2003-11-09,558.5151547853526,478.79676472358415,642.4762998218278
2943,2003-11-10,622.2529005452001,540.145684488416,704.9889810394509
2944,2003-11-11,630.4106712487211,551.6424561278639,712.5260256997225
2945,2003-11-12,629.4544433071541,550.6915827355162,708.4756796973745
